Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-64-1678-01A-01R-0946-07	0.0024562955681228	0	0.394212908186836	0.0145024658098993	0	0.144065683172081	0.0834009403428247	0.0320444676346122	0.0380618040520848	0.0270382125173957	0	0.0320800141660563	0	0.0562227082304775	0.0107807630110058	0.100463660267881	0.0194932865519503	0.0047903360595553	0.0281296239623301	0	0	0.0122568304668879	0.02	0.170175790674223	1.00326301415338
TCGA-44-8117-01A-11R-2241-07	0.0378027276087949	0	0.0320473921558832	0.0638167284678656	0	0.115954262637559	0.0206463940222885	0.056717345323339	0.0300149520651617	0	0.00853914443095212	0	0	0.349700666774113	0.0793991473770641	0.15531763976572	0	0	0.0500435993712582	0	0	0	0	0.518262648314592	0.854777755704418
TCGA-44-2662-01A-01R-0946-07	0	0	0.0700962253760541	0.0193651548242376	0	0.145793944279365	0.0380861128738287	0	0.0106403300951635	0	0.0201418315917857	0	0.10223618734347	0.281396551075761	0.0445119199937851	0.157861344826902	0.0164347679513721	0	0.0309590599352014	0	0	0.0624765698330747	0	0.231567154733499	1.00264148107772
TCGA-91-6849-01A-11R-1949-07	0.0323138335462072	0	0.208831668921193	0.059238866179107	0	0.0183489603653366	0	0.0514077033864926	0.00814392079892562	0	0.0158396663934997	0	0	0.404566293127219	0.0083611608546513	0.130298348037053	0.0247506044696738	0.0312902058620071	0	0	0.00092157891691198	0.00568718914172239	0	0.422851247160865	0.911201508188945
TCGA-91-A4BD-01A-11R-A24H-07	0	0	0.0839911640447801	0.0189114294404052	0	0.138099104974243	0	0.0267484989391071	0.0288737207631092	0	0	0.0254422900047881	0.159066527066927	0.043333688703352	0.0165477825761547	0.216286832206948	0.0383463098699602	0.0400259815963363	0.164326669813889	0	0	0	0	0.419236066440738	0.908077735531286
TCGA-62-A46S-01A-11R-A24H-07	0.0178478385076726	0	0.186025132702401	0.0747695636949026	0	0.194414006231746	0.0078971830200459	0.0163542418645263	0.0333061545831964	0	0	0.0241673997341784	0.0165061354045849	0.0797381615570092	0.0854004783225251	0.104501597761605	0.080018924528211	0.00652795789415806	0.0550628595453908	0	0	0.0174623646478465	0.01	0.19901101596092	0.99430314434692
TCGA-44-2666-01A-01R-0946-07	0.0297950547248573	0	0.109905948236609	0.0486659807697782	0	0.233452473684014	0	0.00634130088319216	0.00392769701749635	0	0	0.0385700141209032	0.012379889237452	0.00530580316158457	0	0.0987424753982771	0.0415843861938257	0.0684830394016798	0.247580068840416	0	0.0473405177845246	0.00792535054538985	0	0.300684403612165	0.958024379892668
TCGA-99-8033-01A-11R-2241-07	0	0	0.0689455169410967	0.198367443095798	0	0	0.157410215644727	0.0848965404414115	0.0224927088871272	0	0.0338691578468932	0.0617314780312739	0.00689344874375973	0.133922694304851	0.0834527748085142	0.0609975056081073	0.00926690361800117	0.0513656991038602	0.00519296387019593	0	0	0.0211949490543839	0	0.352248001111703	0.94099539714028
TCGA-55-7574-01A-11R-2039-07	0.117155052012843	0.0176740790661712	0.0665206256776603	0.100027010304355	0	0.279080603036863	0.0458678114941267	0	0.0202272940002429	0	0	0.00385287997545306	0.00766207440054625	0.114149605193742	0.0547789099295239	0.10565615450609	0	0	0.0644117684726151	0	0	0.00293613192976733	0	0.411340520489801	0.911000736082318
TCGA-91-6835-01A-11R-1858-07	0.0468402576466791	0.0282220912337825	0	0.149829443001742	0	0.147808849057261	0.0154072621381377	0.0335642597952212	0.0515426166583821	0.0114550398386842	0	0	0	0.250421706088581	0.0746795824843687	0.121131535276139	0.0324991174588429	0	0.0365982393221788	0	0	0	0	0.569255975877692	0.828402798985697
